phi_rad,SP,LP,LD,T22,T26
-0.8042477193189868,0.002771488911583656,0.005395953954008796,0.004074907722441816,-0.0017207586120689144,0.00989917134670673
-0.7916813487046279,0.0027401237686361223,0.0053645888110612616,0.004043542579494281,-0.0017521237550164482,0.009867806203759195
-0.7791149780902686,0.0027083569342044467,0.005332821976629586,0.004011775745062606,-0.0017838905894481238,0.00983603936932752
-0.7665486074759094,0.002676193424640039,0.005300658467065178,0.003979612235498198,-0.0018160540990125314,0.009803875859763111
-0.7539822368615501,0.0026436383189339116,0.005268103361359051,0.003947057129792071,-0.0018486092047186589,0.009771320754056984
-0.7414158662471912,0.0026106967579146473,0.005235161800339786,0.003914115568772806,-0.0018815507657379232,0.00973837919303772
-0.728849495632832,0.0025773739434365992,0.005201838985861738,0.0038807927542947583,-0.0019148735802159713,0.009705056378559672
-0.7162831250184727,0.0025436751375584646,0.005168140179983604,0.0038470939484166237,-0.0019485723860941059,0.009671357572681538
-0.7037167544041134,0.002509605661712341,0.00513407070413748,0.0038130244725705,-0.0019826418619402295,0.009637288096835414
-0.6911503837897541,0.00247517089586341,0.005099635938288549,0.003778589706721569,-0.0020170766277891605,0.009602853330986483
-0.6785840131753953,0.002440376277660381,0.00506484132008552,0.00374379508851854,-0.0020518712459921895,0.009568058712783455
-0.666017642561036,0.002405227301576818,0.005029692344001958,0.003708646112434977,-0.0020870202220757525,0.009532909736699891
-0.6534512719466767,0.0023697295180435058,0.004994194560468645,0.003673148328901665,-0.0021225180056090647,0.009497411953166578
-0.6408849013323175,0.0023338885325719675,0.004958353574997107,0.0036373073434301266,-0.002158358991080603,0.009461570967695041
-0.6283185307179586,0.002297710004869292,0.004922175047294431,0.003601128815727451,-0.0021945375187832784,0.009425392439992365
-0.6157521601035993,0.002261199647944396,0.0048856646903695355,0.003564618458802555,-0.0022310478757081747,0.009388882083067469
-0.6031857894892401,0.0022243632272058804,0.00484882826963102,0.0035277820380640395,-0.00226788429644669,0.009352045662328954
-0.5906194188748808,0.002187206559551602,0.004811671601976741,0.003490625370409761,-0.0023050409641009687,0.009314888994674675
-0.578053048260522,0.0021497355124501173,0.004774200554875256,0.0034531543233082764,-0.002342512011202453,0.00927741794757319
-0.5654866776461627,0.00211195600301414,0.004736421045439279,0.003415374813872299,-0.0023802915206384305,0.009239638438137212
-0.5529203070318034,0.0020738739970661653,0.0046983390394913045,0.0033772928079243243,-0.0024183735265864053,0.009201556432189237
-0.5403539364174441,0.0020354955081963925,0.004659960550621532,0.0033389143190545516,-0.002456752015456178,0.009163177943319466
-0.5277875658030853,0.001996826596813113,0.004621291639238252,0.003300245407671272,-0.0024954209268394575,0.009124509031936186
-0.515221195188726,0.001957873369185697,0.004582338411610836,0.003261292180043856,-0.0025343741544668736,0.00908555580430877
-0.5026548245743667,0.0019186419764803467,0.004543107018905486,0.0032220607873385057,-0.002573605547172224,0.00904632441160342
-0.49008845396000744,0.001879138613788756,0.004503603656213895,0.0031825574246469148,-0.0026131089098638148,0.00900682104891183
-0.4775220833456486,0.0018393695191498325,0.004463834561574972,0.0031427883300079915,-0.002652878004502738,0.008967051954272906
-0.46495571273128933,0.001799340972564635,0.004423806014989774,0.0031027597834227937,-0.002692906551087936,0.008927023407687707
-0.45238934211693005,0.0017590592950046961,0.0043835243374298356,0.0030624781058628554,-0.002733188228647874,0.008886741730127769
-0.43982297150257077,0.0017185308474138626,0.004342995889839002,0.0030219496582720214,-0.002773716676238708,0.008846213282536935
-0.4272566008882115,0.00167776202970383,0.004302227072128969,0.002981180840561989,-0.0028144854939487407,0.008805444464826903
-0.41469023027385266,0.0016367592797435235,0.0042612243221686625,0.0029401780906016823,-0.0028554882439090472,0.008764441714866596
-0.4021238596594934,0.0015955290723424769,0.004219994114767616,0.0028989478832006357,-0.002896718451310094,0.00872321150746555
-0.3895574890451341,0.0015540779182283968,0.004178542960653536,0.002857496729086556,-0.0029381696054241735,0.00868176035335147
-0.3769911184307748,0.001512412363019035,0.0041368774054441745,0.0028158311738771943,-0.0029798351606335352,0.008640094798142107
-0.364424747816416,0.0014705389861885624,0.004095004028613702,0.0027739577970467217,-0.003021708537464008,0.008598221421311635
-0.3518583772020567,0.0014284644000285894,0.004052929442453728,0.0027318832108867482,-0.0030637831236239813,0.008556146835151662
-0.3392920065876974,0.0013861952486040163,0.004010660291029156,0.0026896140594621755,-0.003106052275048554,0.008513877683727088
-0.32672563597333815,0.0013437382067038523,0.003968203249128992,0.0026471570175620115,-0.003148509316948718,0.008471420641826925
-0.3141592653589793,0.001301099978787193,0.003925565021212332,0.002604518789645352,-0.0031911475448653777,0.008428782413910266
-0.30159289474462003,0.0012582872979245013,0.0038827523403496406,0.0025617061087826604,-0.003233960225728069,0.008385969733047574
-0.28902652413026075,0.0012153069247343871,0.0038397719671595266,0.0025187257355925464,-0.003276940598918183,0.00834298935985746
-0.2764601535159015,0.0011721656463160215,0.003796630688741161,0.0024755844571741807,-0.003320081877336549,0.008299848081439094
-0.26389378290154264,0.0011288702751773778,0.003753335317602517,0.002432289086035537,-0.0033633772484751925,0.00825655271030045
-0.25132741228718336,0.0010854276481594518,0.003709892690584591,0.002388846459017611,-0.0034068198754931187,0.008213110083282524
-0.23876104167282408,0.0010418446253566537,0.003666309667781793,0.0023452634362148127,-0.003450402898295917,0.008169527060479726
-0.2261946710584648,0.000998128089033515,0.003622593131458654,0.002301546899891674,-0.0034941194346190555,0.008125810524156587
-0.21362830044410597,0.0009542849425379004,0.0035787499849630395,0.0022577037533960593,-0.0035379625811146702,0.008081967377660973
-0.2010619298297467,0.0009103221092108846,0.003534787151636024,0.0022137409200690436,-0.003581925414441686,0.008038004544333958
-0.1884955592153874,0.0008662465312934848,0.003490711573718624,0.0021696653421516437,-0.003626000992359086,0.007993928966416557
-0.17592918860102813,0.0008220651688303942,0.0034465302112555336,0.0021254839796885534,-0.003670182354822176,0.007949747603953467
-0.16336281798666885,0.0007777849985709126,0.003402250040996052,0.0020812038094290717,-0.003714462525081658,0.007905467433693985
-0.15079644737231002,0.0007334130128672374,0.0033578780552923765,0.0020368318237253963,-0.0037588345107853333,0.00786109544799031
-0.13823007675795074,0.0006889562185702846,0.0033134212609954236,0.0019923750294284434,-0.003803291305082286,0.007816638653693357
-0.12566370614359146,0.0006444216359232346,0.003268886678348374,0.0019478404467813937,-0.003847825887729336,0.007772104071046307
-0.11309733552923218,0.0005998162974529488,0.0032242813398780878,0.0019032351083111078,-0.003892431226199622,0.007727498732576022
-0.10053096491487334,0.0005551472468594545,0.0031796122892845937,0.0018585660577176135,-0.003937100276793116,0.007682829681982527
