mechanism,adaptive_gain_scale,adaptive_gain_value,selected_coupling_memory_gain_rad_h,condition,D_period_h,V_period_h,mean_DV_period_h,mean_gap_h,mean_tau_D_h,mean_K_effective_rad_h,mean_gap_rad,delta_omega_rad_h,K_effective_rad_h,locking_ratio,phase_lock_possible,fractional_change,percent_change,D_period_change_h,V_period_change_h,mean_DV_period_change_h,gap_change_h,baseline_phase_lock_possible
adaptive period,0.30000000000000004,2.3983413320405598,-0.484,LD,23.829787234042556,23.829787234042556,23.829787234042556,0.28230541899375217,23.94271673169607,0.0035750484417668123,0.07390738586494669,0.0009847087489174844,0.0035750484417668123,0.27543927444821836,True,-0.7,-70.0,0.08420419517329947,0.08420419517329947,0.08420419517329947,-0.1567606758254798,True
adaptive period,0.30000000000000004,2.3983413320405598,-0.484,T22,24.086021505376344,24.086021505376344,24.086021505376344,-0.16818635649922284,24.085396812280944,0.0035750484417668123,-0.04403108516766604,-0.0005698816497347603,0.0035750484417668123,0.15940529450647697,True,-0.7,-70.0,-0.8028673835125488,-0.6198608475648371,-0.7113641155386929,1.1302041003695802,False
adaptive period,0.30000000000000004,2.3983413320405598,-0.484,T26,23.57894736842105,23.661971830985912,23.62045959970348,0.720272759794388,23.80936692342876,0.0035750484417668123,0.1885669675625746,0.0024544841977298115,0.0035750484417668123,0.6865597033747575,True,-0.7,-70.0,0.7992863514718955,0.6482732008489265,0.7237797761604092,-1.5084609370479636,False
adaptive period,0.35000000000000003,2.7980648873806526,-0.484,SP,23.914590747330962,23.914590747330962,23.914590747330962,0.14366679209958996,23.977075196096482,0.0035750484417668123,0.037611878218740326,0.0006086601446213535,0.0035750484417668123,0.17025227896507877,True,-0.6499999999999999,-64.99999999999999,-0.08540925266903798,-0.08540925266903798,-0.08540925266903798,0.12549786866301688,True
adaptive period,0.35000000000000003,2.7980648873806526,-0.484,LP,23.745583038869256,23.745583038869256,23.745583038869256,0.43875348706783684,23.903644548756024,0.0035750484417668123,0.11486539430910171,0.0014136620303877856,0.0035750484417668123,0.39542458050978035,True,-0.6499999999999999,-64.99999999999999,0.24907954236575947,0.16663567044820482,0.20785760640698214,-0.42946102182583606,True
adaptive period,0.35000000000000003,2.7980648873806526,-0.484,LD,23.829787234042556,23.829787234042556,23.829787234042556,0.29207875718219195,23.939785247717165,0.0035750484417668123,0.07646603981943427,0.0010168434094008916,0.0035750484417668123,0.2844278688705994,True,-0.6499999999999999,-64.99999999999999,0.08420419517329947,0.08420419517329947,0.08420419517329947,-0.14698733763704003,True
adaptive period,0.35000000000000003,2.7980648873806526,-0.484,T22,24.1726618705036,24.1726618705036,24.1726618705036,-0.24116180560144507,24.107686770486307,0.0035750484417668123,-0.0631360130669958,-0.0008110830232954114,0.0035750484417668123,0.22687329598660455,True,-0.6499999999999999,-64.99999999999999,-0.7162270183852932,-0.5332204824375815,-0.6247237504114374,1.0572286512673579,False
adaptive period,0.35000000000000003,2.7980648873806526,-0.484,T26,23.496503496503497,23.57894736842105,23.537725432462274,0.810730002358233,23.78264493799907,0.0035750484417668123,0.21224861828778838,0.002750995048645677,0.0035750484417668123,0.7694986776979496,True,-0.6499999999999999,-64.99999999999999,0.7168424795543409,0.5652487382840654,0.6410456089192031,-1.4180036944841183,False
adaptive period,0.4,3.197788442720746,-0.484,SP,23.914590747330962,23.914590747330962,23.914590747330962,0.13472259174235904,23.979763454208495,0.0035750484417668123,0.03527029204086434,0.0005792829897143803,0.0035750484417668123,0.16203500432237355,True,-0.6,-60.0,-0.08540925266903798,-0.08540925266903798,-0.08540925266903798,0.11655366830578597,True
adaptive period,0.4,3.197788442720746,-0.484,LP,23.745583038869256,23.745583038869256,23.745583038869256,0.46752431439688585,23.89505348373961,0.0035750484417668123,0.12239757929032179,0.0015081670213751286,0.0035750484417668123,0.4218591848310124,True,-0.6,-60.0,0.24907954236575947,0.16663567044820482,0.20785760640698214,-0.40069019449678706,True
adaptive period,0.4,3.197788442720746,-0.484,LD,23.829787234042556,23.829787234042556,23.829787234042556,0.3020461767499625,23.936796559271816,0.0035750484417668123,0.07907550416021386,0.0010496132428381988,0.0035750484417668123,0.2935941316418843,True,-0.6,-60.0,0.08420419517329947,0.08420419517329947,0.08420419517329947,-0.1370199180692695,True
adaptive period,0.4,3.197788442720746,-0.484,T22,24.1726618705036,24.1726618705036,24.1726618705036,-0.3152327795183298,24.13035351080267,0.0035750484417668123,-0.082527748692123,-0.0010559046126557003,0.0035750484417668123,0.2953539315215168,True,-0.6,-60.0,-0.7162270183852932,-0.5332204824375815,-0.6247237504114374,0.9831576773504731,False
adaptive period,0.4,3.197788442720746,-0.484,T26,23.414634146341463,23.496503496503497,23.45556882142248,0.9033722560538219,23.7553782050132,0.0035750484417668123,0.236502303589627,0.003054238109993501,0.0035750484417668123,0.8543207622898885,True,-0.6,-60.0,0.6349731293923071,0.48280486636651077,0.5588889978794107,-1.3253614407885297,False
adaptive period,0.45,3.5975119980608388,-0.484,SP,23.914590747330962,23.914590747330962,23.914590747330962,0.1256656452821545,23.982486344549674,0.0035750484417668123,0.03289918900225312,0.000549534089212933,0.0035750484417668123,0.153713746306987,True,-0.55,-55.00000000000001,-0.08540925266903798,-0.08540925266903798,-0.08540925266903798,0.10749672184558141,True
adaptive period,0.45,3.5975119980608388,-0.484,LP,23.661971830985912,23.745583038869256,23.703777434927584,0.49692362566860787,23.886283851820803,0.0035750484417668123,0.13009430098297523,0.001604706430849645,0.0035750484417668123,0.44886284954969413,True,-0.55,-55.00000000000001,0.1654683344824157,0.16663567044820482,0.16605200246531027,-0.37129088322506504,True
adaptive period,0.45,3.5975119980608388,-0.484,LD,23.829787234042556,23.829787234042556,23.829787234042556,0.3122133066167253,23.93374904218022,0.0035750484417668123,0.08173725253500681,0.0010830365374219775,0.0035750484417668123,0.30294317827109885,True,-0.55,-55.00000000000001,0.08420419517329947,0.08420419517329947,0.08420419517329947,-0.12685278820250667,True
adaptive period,0.45,3.5975119980608388,-0.484,T22,24.259927797833935,24.259927797833935,24.259927797833935,-0.39042178313020404,24.153404055267522,0.0035750484417668123,-0.1022121838069397,-0.0013044003969951978,0.0035750484417668123,0.36486229997783043,True,-0.55,-55.00000000000001,-0.6289610910549577,-0.4459545551072459,-0.5374578230811018,0.9079686737385989,False
adaptive period,0.45,3.5975119980608388,-0.484,T26,23.333333333333332,23.496503496503497,23.414918414918414,0.9982969077320174,23.727548352639978,0.0035750484417668123,0.2613535192860261,0.0033644625110207937,0.0035750484417668123,0.9410956427091249,True,-0.55,-55.00000000000001,0.5536723163841764,0.48280486636651077,0.5182385913753436,-1.230436789110334,False
adaptive period,0.5,3.997235553400932,-0.484,SP,23.914590747330962,23.914590747330962,23.914590747330962,0.11649447715481587,23.985244335412652,0.0035750484417668123,0.03049818280111279,0.0005194085840184437,0.0035750484417668123,0.14528714574892546,True,-0.5,-50.0,-0.08540925266903798,-0.08540925266903798,-0.08540925266903798,0.0983255537182428,True
adaptive period,0.5,3.997235553400932,-0.484,LP,23.661971830985912,23.745583038869256,23.703777434927584,0.5269715164783485,23.87733035755143,0.0035750484417668123,0.13796082040162103,0.0017033430257374915,0.0035750484417668123,0.47645313161006797,True,-0.5,-50.0,0.1654683344824157,0.16663567044820482,0.16605200246531027,-0.3412429924153244,True
adaptive period,0.5,3.997235553400932,-0.484,LD,23.745583038869256,23.829787234042556,23.787685136455906,0.3225859801344928,23.930641014991842,0.0035750484417668123,0.0844528121117988,0.001117132237550278,0.0035750484417668123,0.3124803078187617,True,-0.5,-50.0,0.0,0.08420419517329947,0.042102097586649734,-0.11648011468473918,True
adaptive period,0.5,3.997235553400932,-0.484,T22,24.347826086956523,24.259927797833935,24.303876942395227,-0.4667519341385109,24.176845522163507,0.0035750484417668123,-0.12219537061153107,-0.001556624549360175,0.0035750484417668123,0.43541355444987506,True,-0.5,-50.0,-0.5410628019323696,-0.4459545551072459,-0.4935086785198095,0.831638522730292,False
adaptive period,0.5,3.997235553400932,-0.484,T26,23.333333333333332,23.414634146341463,23.3739837398374,1.0956077831853432,23.699136121867014,0.0035750484417668123,0.2868294469059061,0.003681930411096046,0.0035750484417668123,1.0298966492539083,False,-0.5,-50.0,0.5536723163841764,0.400935516204477,0.47730391629432845,-1.1331259136570082,False
