gphi_d,gp_d,weighted_sse
-1.473459721376947,-0.23345604179899118,122.91443239297358
-1.3692930547102802,-0.23345604179899118,122.70658197408775
-1.2651263880436137,-0.23345604179899118,117.01687606716372
-1.160959721376947,-0.23345604179899118,119.10963652794257
-1.0567930547102802,-0.23345604179899118,119.16600590880998
-0.9526263880436137,-0.23345604179899118,121.19192141234106
-0.8484597213769467,-0.23345604179899118,123.9470875318005
-0.7442930547102802,-0.23345604179899118,128.7978573955426
-0.6401263880436137,-0.23345604179899118,132.88392949332447
-3.1401263880436137,-0.2042893751323245,274.15433044405364
-3.035959721376947,-0.2042893751323245,251.37172733631903
-2.93179305471028,-0.2042893751323245,232.57668572583333
-2.8276263880436137,-0.2042893751323245,227.41726295232777
-2.723459721376947,-0.2042893751323245,210.449342732194
-2.61929305471028,-0.2042893751323245,193.5084011516058
-2.5151263880436137,-0.2042893751323245,179.6688673511419
-2.4109597213769467,-0.2042893751323245,164.90669247925425
-2.30679305471028,-0.2042893751323245,152.65113435645307
-2.2026263880436137,-0.2042893751323245,142.68858903186066
-2.0984597213769467,-0.2042893751323245,135.5112906673161
-1.9942930547102802,-0.2042893751323245,128.20760023905228
-1.8901263880436137,-0.2042893751323245,122.16527202079561
-1.785959721376947,-0.2042893751323245,117.02488143383171
-1.6817930547102802,-0.2042893751323245,113.32548667426171
-1.5776263880436137,-0.2042893751323245,112.38574244227748
-1.473459721376947,-0.2042893751323245,109.98806853946958
-1.3692930547102802,-0.2042893751323245,109.8143243011329
-1.2651263880436137,-0.2042893751323245,105.9860417879441
-1.160959721376947,-0.2042893751323245,105.197084976076
-1.0567930547102802,-0.2042893751323245,108.57820887966768
-0.9526263880436137,-0.2042893751323245,110.84998155618288
-0.8484597213769467,-0.2042893751323245,113.4732961149352
-0.7442930547102802,-0.2042893751323245,119.70673349328517
-0.6401263880436137,-0.2042893751323245,123.98616877720968
-3.1401263880436137,-0.17512270846565786,248.88301749797043
-3.035959721376947,-0.17512270846565786,224.2431356622405
-2.93179305471028,-0.17512270846565786,206.3377988621538
-2.8276263880436137,-0.17512270846565786,206.90126905578165
-2.723459721376947,-0.17512270846565786,188.61702201373
-2.61929305471028,-0.17512270846565786,169.4215236021434
-2.5151263880436137,-0.17512270846565786,156.38849794140322
-2.4109597213769467,-0.17512270846565786,148.0338872044782
-2.30679305471028,-0.17512270846565786,135.16618015709662
-2.2026263880436137,-0.17512270846565786,126.0835647574946
-2.0984597213769467,-0.17512270846565786,117.5594303824537
-1.9942930547102802,-0.17512270846565786,111.46595510590733
-1.8901263880436137,-0.17512270846565786,105.98273162581843
-1.785959721376947,-0.17512270846565786,102.44238385023803
-1.6817930547102802,-0.17512270846565786,98.92172209231617
-1.5776263880436137,-0.17512270846565786,97.32913305653632
-1.473459721376947,-0.17512270846565786,97.77954833374409
-1.3692930547102802,-0.17512270846565786,97.63139400605947
-1.2651263880436137,-0.17512270846565786,93.0878595269889
-1.160959721376947,-0.17512270846565786,94.92106734882874
-1.0567930547102802,-0.17512270846565786,98.18429948122
-0.9526263880436137,-0.17512270846565786,100.91271583493776
-0.8484597213769467,-0.17512270846565786,104.93754239014046
-0.7442930547102802,-0.17512270846565786,110.6275958969858
-0.6401263880436137,-0.17512270846565786,115.70338362269214
-3.1401263880436137,-0.1459560417989912,229.4869657556807
-3.035959721376947,-0.1459560417989912,200.17573314578735
-2.93179305471028,-0.1459560417989912,181.7072058953718
-2.8276263880436137,-0.1459560417989912,186.1880938787921
-2.723459721376947,-0.1459560417989912,167.1089086649026
-2.61929305471028,-0.1459560417989912,152.35475571461683
-2.5151263880436137,-0.1459560417989912,137.5687151135396
-2.4109597213769467,-0.1459560417989912,127.93500327334161
-2.30679305471028,-0.1459560417989912,117.10944936227392
-2.2026263880436137,-0.1459560417989912,109.25718314347937
-2.0984597213769467,-0.1459560417989912,101.55866611309756
-1.9942930547102802,-0.1459560417989912,97.24411471230188
-1.8901263880436137,-0.1459560417989912,91.73116784363022
-1.785959721376947,-0.1459560417989912,88.85369538441165
-1.6817930547102802,-0.1459560417989912,88.19987272582729
-1.5776263880436137,-0.1459560417989912,85.19222933769178
-1.473459721376947,-0.1459560417989912,86.13972288834734
-1.3692930547102802,-0.1459560417989912,88.40184143049831
-1.2651263880436137,-0.1459560417989912,83.04303750443755
-1.160959721376947,-0.1459560417989912,86.28551774187417
-1.0567930547102802,-0.1459560417989912,88.82793173067526
-0.9526263880436137,-0.1459560417989912,91.7649329962995
-0.8484597213769467,-0.1459560417989912,97.18515008827143
-0.7442930547102802,-0.1459560417989912,104.18006101648051
-0.6401263880436137,-0.1459560417989912,108.57021511859496
-3.1401263880436137,-0.11678937513232451,204.04975304057257
-3.035959721376947,-0.11678937513232451,180.67378118917222
-2.93179305471028,-0.11678937513232451,159.2684288164813
-2.8276263880436137,-0.11678937513232451,162.86861120282302
-2.723459721376947,-0.11678937513232451,147.2826153601976
-2.61929305471028,-0.11678937513232451,133.85709347878392
-2.5151263880436137,-0.11678937513232451,123.02062721721492
-2.4109597213769467,-0.11678937513232451,112.20447171617455
-2.30679305471028,-0.11678937513232451,101.41541055556557
-2.2026263880436137,-0.11678937513232451,93.81836408423094
-2.0984597213769467,-0.11678937513232451,89.73481235857498
-1.9942930547102802,-0.11678937513232451,82.48110106656671
-1.8901263880436137,-0.11678937513232451,79.69181261312617
-1.785959721376947,-0.11678937513232451,77.54319550032596
-1.6817930547102802,-0.11678937513232451,75.58218575141626
-1.5776263880436137,-0.11678937513232451,76.31123370920959
-1.473459721376947,-0.11678937513232451,75.82442396511263
-1.3692930547102802,-0.11678937513232451,77.97914350589527
-1.2651263880436137,-0.11678937513232451,74.75933151168478
-1.160959721376947,-0.11678937513232451,77.74001717515081
-1.0567930547102802,-0.11678937513232451,82.03415100668904
-0.9526263880436137,-0.11678937513232451,84.10959271539748
-0.8484597213769467,-0.11678937513232451,90.25555552803321
-0.7442930547102802,-0.11678937513232451,96.89603165061348
-0.6401263880436137,-0.11678937513232451,102.39251573556248
-3.1401263880436137,-0.08762270846565787,184.28290622371426
-3.035959721376947,-0.08762270846565787,158.18500012281598
-2.93179305471028,-0.08762270846565787,142.3110673706851
-2.8276263880436137,-0.08762270846565787,143.28323113225127
-2.723459721376947,-0.08762270846565787,131.34293226171334
-2.61929305471028,-0.08762270846565787,116.87388171484886
-2.5151263880436137,-0.08762270846565787,107.0214358036016
-2.4109597213769467,-0.08762270846565787,95.8551370525945
-2.30679305471028,-0.08762270846565787,88.05951635863943
-2.2026263880436137,-0.08762270846565787,80.28747149685961
-2.0984597213769467,-0.08762270846565787,75.84375838243545
-1.9942930547102802,-0.08762270846565787,72.66740155366286
-1.8901263880436137,-0.08762270846565787,67.53739277964661
-1.785959721376947,-0.08762270846565787,67.38675555390051
-1.6817930547102802,-0.08762270846565787,66.32923438425333
-1.5776263880436137,-0.08762270846565787,66.96509184492197
-1.473459721376947,-0.08762270846565787,68.14821727877454
-1.3692930547102802,-0.08762270846565787,69.84190212110283
-1.2651263880436137,-0.08762270846565787,66.62190185024988
-1.160959721376947,-0.08762270846565787,70.2703009579345
-1.0567930547102802,-0.08762270846565787,75.75182362756284
-0.9526263880436137,-0.08762270846565787,79.54444984426591
-0.8484597213769467,-0.08762270846565787,85.6933216758662
-0.7442930547102802,-0.08762270846565787,91.92994679291294
-0.6401263880436137,-0.08762270846565787,98.10770187132492
-3.1401263880436137,-0.05845604179899119,164.68314935909962
