condition,K_VD_rad_h,phi_star_rad,stability,delta_omega_rad_h,K_DV_rad_h
SP,0.012024048096192385,-2.6297702571207733,stable,0.0001963492545675738,0.012424951558233189
SP,0.012124248496993988,-0.711495618987211,unstable,0.0001963492545675738,0.012424951558233189
SP,0.012124248496993988,-2.430097034602582,stable,0.0001963492545675738,0.012424951558233189
SP,0.012224448897795592,-1.3668998707116633,unstable,0.0001963492545675738,0.012424951558233189
SP,0.012224448897795592,-1.7746927828781303,stable,0.0001963492545675738,0.012424951558233189
SP,0.012625250501002005,1.371878675387518,stable,0.0001963492545675738,0.012424951558233189
SP,0.012625250501002005,1.769713978202275,unstable,0.0001963492545675738,0.012424951558233189
SP,0.012725450901803607,0.7120802323148809,stable,0.0001963492545675738,0.012424951558233189
SP,0.012725450901803607,2.4295124212749126,unstable,0.0001963492545675738,0.012424951558233189
SP,0.01282565130260521,0.5121080176839379,stable,0.0001963492545675738,0.012424951558233189
SP,0.01282565130260521,2.6294846359058557,unstable,0.0001963492545675738,0.012424951558233189
SP,0.012925851703406814,0.4027967662592542,stable,0.0001963492545675738,0.012424951558233189
SP,0.012925851703406814,2.7387958873305394,unstable,0.0001963492545675738,0.012424951558233189
SP,0.013026052104208416,0.33275654554171874,stable,0.0001963492545675738,0.012424951558233189
SP,0.013026052104208416,2.808836108048075,unstable,0.0001963492545675738,0.012424951558233189
SP,0.01312625250501002,0.2837718136190803,stable,0.0001963492545675738,0.012424951558233189
SP,0.01312625250501002,2.857820839970713,unstable,0.0001963492545675738,0.012424951558233189
SP,0.013226452905811623,0.2474957880771642,stable,0.0001963492545675738,0.012424951558233189
SP,0.013226452905811623,2.894096865512629,unstable,0.0001963492545675738,0.012424951558233189
SP,0.013326653306613227,0.2195127611919645,stable,0.0001963492545675738,0.012424951558233189
SP,0.013326653306613227,2.9220798923978286,unstable,0.0001963492545675738,0.012424951558233189
SP,0.013426853707414829,0.19725313905478714,stable,0.0001963492545675738,0.012424951558233189
