coupling_memory_gain_rad_h,weighted_gap_SSE
0.268,123.07700966771648
0.272,123.42522697503229
0.276,123.77927656147293
0.28,124.13935525476987
0.28400000000000003,124.50566505879381
0.28800000000000003,124.8784132972385
0.29200000000000004,125.25781275771753
0.29600000000000004,125.64408183582404
0.30000000000000004,126.03744467882495
0.30400000000000005,126.43813132847879
0.30800000000000005,126.8463778624745
0.31200000000000006,127.2624265340115
0.31600000000000006,127.6865259087548
0.32000000000000006,128.11893099864488
0.32400000000000007,128.55990339171242
0.32800000000000007,129.00971137713088
0.3320000000000001,129.46863006460612
0.33599999999999997,129.93694149717805
0.33999999999999997,130.41493475632478
0.344,130.90290605830268
0.348,131.40115884051457
0.352,131.9100038365579
0.356,132.4297591386101
0.36,132.9607502456341
0.364,133.50331009586188
0.368,134.05777908184814
0.372,134.6245050463418
0.376,135.20384325714082
0.38,135.796156358943
0.384,136.4018143002068
0.388,137.0211942328783
0.392,137.65468038285763
0.396,138.3026638889337
0.4,138.96554260791055
0.404,139.64372088364698
0.40800000000000003,140.33760927767503
0.41200000000000003,141.04762425906148
0.41600000000000004,141.77418785126113
0.42000000000000004,142.51772723374302
0.42400000000000004,143.27867429619198
0.42800000000000005,144.05746514335854
0.43200000000000005,144.85453954860003
0.43600000000000005,145.6703403545173
0.44000000000000006,146.50531281919126
0.44400000000000006,147.35990390689145
0.44800000000000006,148.23456152239274
0.45200000000000007,149.1297336884967
0.45600000000000007,150.04586766647787
0.45999999999999996,150.98340902023074
0.46399999999999997,151.94280062459723
0.46799999999999997,152.92448161965007
0.472,153.92888631272533
0.476,154.95644303110845
0.48,156.007572928355
0.484,157.0826887485353
0.488,158.1821935528718
0.492,159.30647941410103
0.496,160.45592608473223
0.5,161.63089964566558
